,Avg Daily Return (%),Annualized Return (%),Volatility (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%),VaR 95% (%),Skewness,Kurtosis
ACC_NS,-0.09349047852704122,-23.559600588814387,1.059978956366847,16.826644281050772,-1.4001366045008687,-8.994847671967932,,0.16031079778152313,3.0573979928021227
ADANIGREEN_NS,0.05629840661079474,14.187198465920275,1.8520972432334457,29.40113225702402,0.4825391873311584,-11.645228897474514,,0.2520025428935249,0.8740302194210705
ADANIPOWER_NS,-1.4073296732678406,-354.64707766349585,12.726511095538271,202.02710049779063,-1.755443090504456,-80.59038366091822,,-6.059907910511173,38.52733940354161
ASHOKLEY_NS,0.3236573776247243,81.56165916143053,2.003057062501822,31.7975450955083,2.5650300649452302,-7.516029369744759,,1.5857059618831417,4.882308723026316
AUROPHARMA_NS,0.06230942140461353,15.70197419396261,1.7639252570439585,28.00144536866399,0.5607558462512245,-11.403411416134023,,-0.09850713475151986,3.316361652107425
AXISBANK_NS,0.08456701591590927,21.310888010809137,0.8756984883275252,13.901282541538981,1.5330159607309053,-5.394650164929715,,0.15731997538447906,-0.16655882927166044
BAJAJ-AUTO_NS,0.19697052865415432,49.636573220846884,1.449994163037197,23.01794374735001,2.156429512803958,-4.897439974558749,,1.2409995507099818,2.26880387303371
BANDHANBNK_NS,-0.1552859888145302,-39.13206918126161,1.610904592265143,25.57231762191283,-1.5302511786311257,-11.586272798758179,,0.18630125688520466,0.27887005887384575
BHARTIARTL_NS,0.07395767088182717,18.637333062220446,1.0586844341628177,16.806094378139697,1.10896277522175,-4.81016553407173,,-0.9171774279935889,1.8943770486548224
BIOCON_NS,-0.09744919098028022,-24.557196127030615,1.796255827591195,28.514677265140893,-0.8612124871233144,-14.077606091221305,,-0.2939379996072019,1.7457151560137931
BOSCHLTD_NS,0.1697202412789881,42.769500802305004,1.5998593736978155,25.39698021287982,1.6840388283885377,-6.956098747415784,,-0.1476930623964557,6.826450165586516
BPCL_NS,-0.03376455228017431,-8.508667174603927,1.232175920388413,19.560186340979175,-0.434999290205023,-9.176697767282905,,-0.07539016739818633,1.0364887642407132
BRITANNIA_NS,0.18921255273225496,47.681563288528245,1.5732519593667542,24.97460060477716,1.9092022348260371,-8.372213582166921,,0.055398208893970874,1.0190118622279551
CIPLA_NS,0.18229817051972189,45.939138970969914,1.2478062203926972,19.808309661351178,2.3191852185451087,-5.603554712317349,,0.12785666477637783,1.2896019038354027
COALINDIA_NS,0.1040489677742443,26.220339879109567,0.9424297166354525,14.960607950246876,1.7526252921210255,-4.670501969379915,,-0.14713926928007232,0.16087454697373005
