Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20
2025-07-22,1906.800048828125,1911.300048828125,1883.0,1909.199951171875,4513541,,
2025-07-23,1943.800048828125,1949.0,1907.300048828125,1920.0,5194282,0.01940423696902016,
2025-07-24,1936.0999755859373,1970.4000244140625,1933.699951171875,1943.800048828125,4150685,-0.0039613504726629944,
2025-07-25,1937.9000244140625,1952.699951171875,1925.0,1936.0999755859373,3896884,0.0009297292757728393,
2025-07-28,1890.300048828125,1930.0,1885.0,1930.0,3575044,-0.02456265802480173,
2025-07-29,1918.300048828125,1923.5999755859373,1880.0,1880.0,3748040,0.014812463247492635,
2025-07-30,1932.5999755859373,1939.199951171875,1922.0999755859373,1934.0,5044683,0.00745447864975457,
2025-07-31,1914.300048828125,1926.5,1895.5999755859373,1913.0,4674966,-0.009469071193723866,
2025-08-01,1884.4000244140625,1919.699951171875,1878.0,1914.0,5192594,-0.015619298778353108,
2025-08-04,1914.5999755859373,1919.9000244140625,1878.5,1892.0,3074380,0.01602629525610677,
2025-08-05,1931.800048828125,1937.5999755859373,1912.0999755859373,1920.0,5167672,0.008983638076629497,
2025-08-06,1929.699951171875,1964.800048828125,1921.5999755859373,1930.0,5461349,-0.0010871195792359067,
2025-08-07,1922.5999755859373,1933.300048828125,1909.0999755859373,1928.0999755859373,4268534,-0.003679315834374197,
2025-08-08,1858.5999755859373,1893.800048828125,1856.0,1886.300048828125,93801105,-0.03328825591007056,
2025-08-11,1857.4000244140625,1866.0,1845.699951171875,1863.0,5266532,-0.0006456209984058159,
2025-08-12,1850.300048828125,1865.0,1847.0999755859373,1857.4000244140625,4645011,-0.0038225344527909044,
2025-08-13,1867.4000244140625,1872.5,1851.800048828125,1853.0,6697206,0.00924173114342608,
2025-08-14,1873.800048828125,1883.0,1866.800048828125,1873.0,3958631,0.0034272380477613495,
2025-08-18,1892.300048828125,1912.5999755859373,1870.300048828125,1892.5,7146376,0.009872985120034539,
2025-08-19,1909.699951171875,1931.800048828125,1900.0,1901.0999755859373,5706265,0.009195107485478138,1903.6350158691407
2025-08-20,1928.4000244140625,1952.0,1926.0,1937.0,6962619,0.00979215254768806,1904.7150146484375
2025-08-21,1929.9000244140625,1940.9000244140625,1927.699951171875,1930.0,3376913,0.0007778469098784768,1904.0200134277343
2025-08-22,1933.300048828125,1947.699951171875,1917.4000244140625,1934.0,3271920,0.001761761941577733,1903.8800170898437
2025-08-25,1930.699951171875,1940.0999755859373,1913.199951171875,1940.0,2451388,-0.0013449012520462267,1903.5200134277343
2025-08-26,1904.699951171875,1925.800048828125,1896.199951171875,1922.0999755859373,5984656,-0.013466618665535668,1904.240008544922
2025-08-27,1904.699951171875,1904.699951171875,1904.699951171875,1904.699951171875,0,0.0,1903.5600036621095
2025-08-28,1881.0999755859373,1899.800048828125,1878.199951171875,1893.0,5494113,-0.012390390187923206,1900.9850036621094
2025-08-29,1888.800048828125,1900.0999755859373,1872.5,1872.5,4339042,0.004093388624806682,1899.7100036621093
2025-09-01,1900.5999755859373,1904.800048828125,1884.199951171875,1889.0,3421488,0.006247313878000593,1900.520001220703
2025-09-02,1887.199951171875,1917.5,1878.0,1904.5,4423049,-0.007050418071236297,1899.15
2025-09-03,1883.9000244140625,1892.0999755859373,1870.0,1891.0,3803044,-0.001748583532849013,1896.7549987792968
2025-09-04,1880.4000244140625,1903.5,1876.5999755859373,1899.0,5205333,-0.00185784805703193,1894.2900024414062
2025-09-05,1895.300048828125,1910.699951171875,1875.699951171875,1887.0,2620140,0.007923858870776845,1892.9250061035157
2025-09-08,1887.699951171875,1899.0,1884.0999755859373,1898.0,2547552,-0.004009970696169818,1894.3800048828125
2025-09-09,1893.699951171875,1904.0,1883.0,1892.0,4517793,0.003178471237590186,1896.195001220703
2025-09-10,1891.4000244140625,1905.0,1883.0,1904.0,3566139,-0.0012145148741168343,1898.25
2025-09-11,1913.0,1916.0,1882.0999755859373,1884.0,4718266,0.011420099030943431,1900.5299987792969
2025-09-12,1902.5999755859373,1925.0,1901.5999755859373,1925.0,3192824,-0.005436499955077223,1901.9699951171874
2025-09-15,1904.5,1913.0,1898.4000244140625,1904.0,3553258,0.0009986462937263685,1902.5799926757813
2025-09-16,1939.5,1942.0,1902.5,1903.300048828125,5427586,0.018377526909950204,1904.0699951171875
2025-09-17,1941.300048828125,1950.0999755859373,1932.5999755859373,1938.0999755859373,4234637,0.0009280994215647986,1904.7149963378906
2025-09-18,1941.0999755859373,1949.800048828125,1920.5,1944.5,5080814,-0.00010306147280447764,1905.2749938964844
2025-09-19,1962.4000244140625,1976.800048828125,1927.800048828125,1930.199951171875,11287603,0.010973184841597705,1906.7299926757812
