,RELIANCE_NS,TCS_NS,INFY_NS
RELIANCE_NS,1.0,0.12576549305680604,0.1637135484277931
TCS_NS,0.12576549305680604,1.0,0.706908643741853
INFY_NS,0.1637135484277931,0.706908643741853,1.0
