Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20
2025-07-22,387.2000122070313,394.75,386.2999877929688,394.0499877929688,2387785,,
2025-07-23,396.9500122070313,398.3999938964844,384.6000061035156,384.6000061035156,3735346,0.025180784330106842,
2025-07-24,397.6000061035156,404.5,396.1000061035156,396.7999877929688,3142162,0.001637470403062613,
2025-07-25,394.1499938964844,399.75,392.2000122070313,395.0,2122908,-0.008677092942833142,
2025-07-28,387.4500122070313,403.2000122070313,386.5499877929688,394.1000061035156,3698071,-0.01699855839960429,
2025-07-29,398.1499938964844,399.1000061035156,386.0,387.4500122070313,5529147,0.02761641851164942,
2025-07-30,397.2999877929688,403.0,394.3999938964844,400.0,6133305,-0.0021348891537006365,
2025-07-31,391.3999938964844,396.1000061035156,384.7999877929688,388.0,2938178,-0.014850224207806684,
2025-08-01,383.1000061035156,392.8500061035156,381.7999877929688,391.5,3141290,-0.021205896582522366,
2025-08-04,382.3999938964844,386.6000061035156,373.0499877929688,383.1000061035156,8430624,-0.0018272309994223912,
2025-08-05,372.3500061035156,386.7999877929688,370.6499938964844,383.0,3095425,-0.02628134925046388,
2025-08-06,360.3999938964844,372.8999938964844,359.3999938964844,372.0,4170067,-0.03209349271155659,
2025-08-07,364.2000122070313,366.2999877929688,355.54998779296875,358.79998779296875,2148156,0.01054389116232457,
2025-08-08,343.3500061035156,365.7999877929688,341.20001220703125,358.95001220703125,5841196,-0.057248779255019366,
2025-08-11,342.1000061035156,342.8500061035156,331.0,342.6000061035156,5044883,-0.0036405999061586147,
2025-08-12,354.8999938964844,357.5,340.1000061035156,342.1000061035156,7056392,0.03741592389535242,
2025-08-13,360.25,361.8999938964844,354.0,355.45001220703125,2379044,0.015074686377921198,
2025-08-14,359.25,368.0,358.1499938964844,361.0,2525023,-0.002775850104094424,
2025-08-18,364.2999877929688,366.3500061035156,359.8999938964844,363.0,2143775,0.014057029347164463,
2025-08-19,363.8500061035156,366.5,361.5,366.5,1024689,-0.0012351954557542344,375.0325012207031
2025-08-20,359.45001220703125,365.0499877929688,358.29998779296875,363.8500061035156,998355,-0.012092878446269939,373.64500122070314
2025-08-21,357.75,361.4500122070313,354.79998779296875,360.0,2257658,-0.004729481567111726,371.68500061035155
2025-08-22,359.5,361.5,356.3500061035156,356.3500061035156,1023391,0.004891684136967056,369.7800003051758
2025-08-25,359.95001220703125,363.7000122070313,358.20001220703125,361.1499938964844,932540,0.0012517724813108089,368.07000122070315
2025-08-26,358.29998779296875,363.2999877929688,355.6000061035156,358.95001220703125,4216073,-0.004584037666634289,366.6125
2025-08-27,358.29998779296875,358.29998779296875,358.29998779296875,358.29998779296875,0,0.0,364.61999969482423
2025-08-28,353.25,362.6499938964844,350.8999938964844,361.0,2513036,-0.01409430076756435,362.4175003051758
2025-08-29,348.3500061035156,356.1000061035156,347.1499938964844,353.25,1810109,-0.013871178758625313,360.26500091552737
2025-09-01,352.54998779296875,353.3999938964844,346.79998779296875,349.0,1594809,0.01205678661077747,358.7375
2025-09-02,356.1000061035156,357.0,349.29998779296875,353.3999938964844,3049894,0.010069545974942917,357.42250061035156
2025-09-03,361.5499877929688,363.5,353.8500061035156,355.5,2632511,0.015304638011909732,356.8824996948242
2025-09-04,356.8500061035156,364.5499877929688,355.0,364.5,1203504,-0.012999534913950783,356.70500030517576
2025-09-05,363.7000122070313,364.7999877929688,354.0,354.0,2400088,0.019195757282763237,356.6800003051758
2025-09-08,364.1499938964844,367.8500061035156,362.5,364.0,1348143,0.001237233088672296,357.7199996948242
2025-09-09,364.5,366.5499877929688,361.2999877929688,364.1499938964844,819081,0.0009611591634823835,358.8399993896484
2025-09-10,364.2000122070313,370.7999877929688,363.0,366.0,1707668,-0.00082301177769184,359.30500030517584
2025-09-11,364.0499877929688,369.25,362.5499877929688,364.2000122070313,1755595,-0.0004119286354586915,359.4949996948243
2025-09-12,365.2000122070313,366.7999877929688,363.2000122070313,364.0499877929688,1189542,0.0031589739118917937,359.79250030517585
2025-09-15,358.25,367.0,357.0,367.0,2232052,-0.019030700916546905,359.4900009155274
2025-09-16,360.20001220703125,361.9500122070313,358.3500061035156,359.45001220703125,968345,0.0054431603825018104,359.30750122070316
2025-09-17,354.3500061035156,362.2999877929688,353.0,360.9500122070313,3387333,-0.01624099362926512,359.0525009155274
2025-09-18,368.3999938964844,369.7999877929688,358.0,359.79998779296875,9086347,0.03965002836451026,359.5850006103516
2025-09-19,369.2000122070313,373.8500061035156,367.6000061035156,370.6000061035156,14210253,0.002171602399026362,360.07000122070315
