Date,Close,High,Low,Open,Volume
2025-07-22,37249.42578125,37999.248681362566,36923.84478514849,37984.44954517613,26390
2025-07-23,37471.4140625,37550.342791436284,37012.64082555786,37293.824422393365,20844
2025-07-24,37402.3515625,37836.45957324914,37318.489787696184,37471.41420057372,19341
2025-07-25,37323.421875,37604.60546565226,37106.36787519825,37604.60546565226,17581
2025-07-28,37723.0,38014.04969268994,37303.69112070093,37629.27213286256,37336
2025-07-29,39915.0,40120.0,37615.0,37700.0,89125
2025-07-30,40060.0,40415.0,39125.0,40000.0,100405
2025-07-31,40385.0,40490.0,39325.0,39500.0,46071
2025-08-01,40390.0,40730.0,40105.0,40375.0,59925
2025-08-04,41115.0,41280.0,40035.0,40150.0,66056
2025-08-05,40595.0,41290.0,39445.0,41145.0,114355
2025-08-06,38255.0,40555.0,38150.0,40500.0,103119
2025-08-07,38570.0,38750.0,37900.0,38225.0,54977
2025-08-08,38325.0,39150.0,38220.0,38570.0,32516
2025-08-11,38710.0,39080.0,38320.0,38540.0,31256
2025-08-12,38610.0,39010.0,38540.0,39000.0,20383
2025-08-13,38660.0,38910.0,38510.0,38795.0,13806
2025-08-14,38585.0,38950.0,38430.0,38880.0,23267
2025-08-18,39335.0,39895.0,38870.0,39000.0,28210
2025-08-19,39860.0,40245.0,39365.0,39495.0,25516
2025-08-20,39935.0,40280.0,39830.0,39920.0,18625
2025-08-21,39475.0,40105.0,39360.0,40075.0,21473
2025-08-22,39325.0,39780.0,39165.0,39725.0,14967
2025-08-25,39085.0,39535.0,38950.0,39325.0,33832
2025-08-26,39510.0,39655.0,38800.0,39200.0,32640
2025-08-27,39510.0,39510.0,39510.0,39510.0,0
2025-08-28,39225.0,39960.0,39070.0,39700.0,33810
2025-08-29,39960.0,40350.0,39060.0,39455.0,46252
2025-09-01,40785.0,40950.0,40010.0,40220.0,45616
2025-09-02,41315.0,41575.0,40675.0,40900.0,38339
2025-09-03,41100.0,41835.0,41000.0,41500.0,31045
2025-09-04,40740.0,41660.0,40540.0,41660.0,27591
2025-09-05,40910.0,41095.0,40755.0,41075.0,16404
2025-09-08,41355.0,41760.0,41000.0,41100.0,16171
2025-09-09,41495.0,41640.0,41095.0,41450.0,25999
2025-09-10,41005.0,41945.0,40955.0,41700.0,29476
2025-09-11,40655.0,41200.0,40400.0,41190.0,24790
2025-09-12,39885.0,40890.0,39790.0,40780.0,24810
2025-09-15,39445.0,40040.0,39260.0,40040.0,21503
2025-09-16,39920.0,40050.0,39595.0,39605.0,34458
2025-09-17,39775.0,40190.0,39725.0,39995.0,29814
2025-09-18,39885.0,40060.0,39780.0,40000.0,19976
2025-09-19,39790.0,40130.0,39400.0,39985.0,31662
